DATA,ORDEM,TIPO_DE_AT,APARELHO,MARCA,TECNICO,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO
14-09-2022,1537,GON,Lavadora,Panasonic,Cvg,Concluído,0,16-09-2022,16-09-2022,Sim
14-09-2022,1538,GON,Lava E Seca,Midea,Cvg,Concluído,0,15-09-2022,15-09-2022,Sim
14-09-2022,1539,FON,Refrigerador,Panasonic,Cvg,Concluído,0,15-09-2022,15-09-2022,Sim
14-09-2022,1540,GON,Microondas,Midea,Luiz,SEM DEFEITO,0,0,14-09-2022,Não
14-09-2022,1541,GON,Refrigerador,Midea,Cvg,Concluído,0,15-09-2022,15-09-2022,Sim
15-09-2022,1542,GB,Robo,Wap,Thiago,Concluído,0,16-09-2022,21-09-2022,Sim
15-09-2022,1543,FON,Lavadora,Panasonic,,CANCELADO,0,0,19-09-2022,Não
15-09-2022,1544,FON,Refrigerador,Panasonic,Cvg,Concluído,0,19-09-2022,19-09-2022,Sim
15-09-2022,1545,GON,Frigobar,Midea,,,0,0,0,Não
15-09-2022,1546,GON,Refrigerador,Panasonic,Cvg,13/11-ABERTO SAT,0,0,12-09-2022,NÃO
15-09-2022,1547,FB,Robo,Wap,Thiago,Concluído,0,21-09-2022,29-09-2022,Sim
15-09-2022,1548,FON,Lavadora,Panasonic,,CANCELADO,0,0,19-09-2022,Não
15-09-2022,1549,GB,Microondas,Midea,Luiz,Concluído,0,15-09-2022,15-09-2022,Sim
16-09-2022,1550,GS,Robo,Wap,Thiago,Concluído,0,19-09-2022,23-09-2022,Sim
16-09-2022,1551,GON,Refrigerador,Panasonic,Cvg,Concluído,22-09-2022,10-11-2022,10-11-2022,Sim
16-09-2022,1552,FB,Robo,Wap,Thiago,Concluído,0,23-09-2022,26-09-2022,Sim
16-09-2022,1553,FB,Robo,Wap,Thiago,SEM CONSERTO,0,0,19-09-2022,Não
16-09-2022,1554,GB,Robo,Wap,Thiago,Concluído,22-09-2022,23-09-2022,26-09-2022,Sim
17-09-2022,1555,FB,Microondas,Panasonic,Luan,Concluído,0,17-09-2022,17-09-2022,Sim
17-09-2022,1556,GB,Fritadeira,Midea,Luan,Troca,0,0,16-12-2022,NÃO
17-09-2022,1557,GB,Robo,Midea,,,0,0,0,Não
19-09-2022,1558,FB,Microondas,Midea,Luan,Concluído,0,28-09-2022,28-09-2022,Sim
19-09-2022,1559,GB,Robo,Wap,Thiago,Concluído,0,21-09-2022,26-09-2022,Sim
19-09-2022,1560,GS,Refrigerador,Panasonic,Luan,Concluído,0,27-10-2022,27-10-2022,Sim
19-09-2022,1561,FB,Aquecedor,Midea,Luan,Concluído,0,21-09-2022,28-09-2022,Sim
19-09-2022,1562,GB,Robo,Wap,Thiago,Concluído,26-09-2022,27-09-2022,30-09-2022,Sim
19-09-2022,1563,GON,Refrigerador,Panasonic,,CANCELADO,0,0,20-09-2022,Não
19-09-2022,1564,GON,Lava E Seca,Midea,Cvg/Alex,Concluído,26-09-2022,27-09-2022,27-09-2022,Sim
19-09-2022,1565,GB,Robo,Midea,,,0,0,0,Não
20-09-2022,1566,FON,Lavadora,Panasonic,,CANCELADO,0,0,20-09-2022,Não
