DATA,TIPO DE AT.,APARELHO,MARCA,TECNICO,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
16-01-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,0,17-01-2023,17-01-2023,Sim
16-01-2023,GB,Robo,Wap,Thiago,Concluído,18-01-2023,19-01-2023,20-01-2023,Sim
16-01-2023,FB,Robo,Midea,Mateus,Concluído,0,27-03-2023,05-05-2023,Sim
16-01-2023,GB,Robo,Wap,Thiago,Concluído,18-01-2023,19-01-2023,03-02-2023,Sim
17-01-2023,FON,Refrigerador,Panasonic,0,0,0,0,0,0
17-01-2023,GON,Lavadora,Panasonic,Osiel,Concluído,0,19-01-2023,19-01-2023,Sim
17-01-2023,GB,Micro-Ondas,Midea,Robson,Concluído,0,27-01-2023,31-01-2023,Sim
17-01-2023,GB,Robo,Wap,Thiago,Concluído,0,23-01-2023,25-01-2023,Sim
17-01-2023,GB,Robo,Wap,Thiago,Concluído,0,01-06-2023,25-08-2023,Sim
17-01-2023,FB,Robo,Wap,Thiago,Sem Conserto,0,0,25-08-2023,Não
17-01-2023,GB,Robo,Midea,Mateus,Concluído,0,26-01-2023,06-02-2023,Sim
17-01-2023,FB,Robo,Wap,Thiago,Sem Conserto,0,0,14-04-2023,Não
17-01-2023,GON,Lavadora,Panasonic,Jacleilson,Concluído,30-01-2023,19-01-2023,19-01-2023,Sim
18-01-2023,FB,Aspirador,Midea,Matheus,Concluído,0,26-01-2023,02-02-2023,Sim
18-01-2023,FB,Refrigerador,Panasonic,0,Cancelado,0,0,04-04-2023,Não
18-01-2023,FON,Refrigerador,Panasonic,Cvg,Cancelado,0,0,08-05-2023,Não
18-01-2023,FON,Refrigerador,Panasonic,0,Cancelado,0,0,24-01-2023,Não
18-01-2023,GON,Lava E Seca,Midea,Jacleilson,Concluído,02-02-2023,07-02-2023,07-02-2023,Sim
18-01-2023,FON,Refrigerador,Panasonic,Jacleilson,Concluído,0,18-01-2023,18-01-2023,Sim
18-01-2023,FON,Refrigerador,Panasonic,0,Cancelado,0,0,18-01-2023,Não
18-01-2023,GON,Lavadora,Panasonic,Jacleilson,Concluído,0,0,0,0
18-01-2023,FON,Refrigerador,Panasonic,Osiel,Concluído,0,06-02-2023,06-02-2023,Sim
18-01-2023,FB,Climatizador,Midea,0,0,0,0,0,0
18-01-2023,GON,Refrigerador,Panasonic,0,0,0,0,0,0
18-01-2023,FB,Robo,Wap,Matheus Rosa,Concluído,0,10-03-2023,20-03-2023,Sim
18-01-2023,FB,Microondas,Panasonic,Robson,Cancelado,0,0,10-05-2023,Não
18-01-2023,FB,Robo,Wap,Mateus,Concluído,0,16-03-2023,24-03-2023,Sim
19-01-2023,FB,Robo,Wap,Mateus,Concluído,0,27-01-2023,02-02-2023,Sim
19-01-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,07-02-2023,13-02-2023,13-02-2023,Sim
19-01-2023,GON,Lava E Seca,Midea,Jacleilson,Sem Defeito,0,0,19-01-2023,Não
19-01-2023,GON,Lavadora,Panasonic,Osiel,Concluído,0,20-01-2023,20-01-2023,Sim
19-01-2023,FON,Ar Condicionado,Midea,0,Cancelado,0,0,23-05-2023,Não
19-01-2023,FON,Lavadora,Panasonic,0,Cancelado,0,0,01-03-2023,Não
19-01-2023,GB,Robo,Wap,Thiago,Concluído,24-01-2023,25-01-2023,02-02-2023,Sim
19-01-2023,GB,Aspirador,Midea,Matheus,Concluído,0,03-02-2023,24-02-2023,Sim
19-01-2023,FB,Microondas,Midea,Robson,Concluído,0,31-01-2023,01-02-2023,Sim
19-01-2023,GON,Lavadora,Panasonic,Osiel,Concluído,0,20-01-2023,20-01-2023,Sim
19-01-2023,GB,Robo,Wap,Thiago,Concluído,0,24-01-2023,30-01-2023,Sim
19-01-2023,FB,Robo,Wap,Mateus / Robson,Concluído,0,27-01-2023,08-02-2023,Sim
20-01-2023,GON,Refrigerador,Panasonic,Cvg,24/01-Aberto Sat,0,24-02-2023,24-02-2023,Sim
20-01-2023,GB,Robo,Wap,Thiago,Concluído,24-01-2023,25-01-2023,27-01-2023,Sim
20-01-2023,GON,Lavadora,Panasonic,Jacleilson,Concluído,0,26-01-2023,26-01-2023,Sim
20-01-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,0,20-01-2023,20-01-2023,Sim
20-01-2023,GB,Micro Ondas,Midea,Robson,Concluído,06-02-2023,10-02-2023,25-02-2023,Sim
20-01-2023,FB,Adega,Midea,Brenno,Sem Conserto,0,0,21-03-2023,Não
20-01-2023,GB,Robo,Wap,Thiago,Concluído,24-01-2023,25-01-2023,03-02-2023,Sim
20-01-2023,GB,Robo,Wap,Thiago,Concluído,06-02-2023,07-02-2023,08-02-2023,Sim
20-01-2023,GB,Robo,Wap,Thiago,Concluído,0,06-02-2023,08-02-2023,Sim
20-01-2023,GB,Robo,Wap,Thiago,Concluído,06-02-2023,07-02-2023,08-02-2023,Sim
20-01-2023,GB,Micro-Ondas,Midea,Robson,Concluído,0,30-01-2023,31-01-2023,Sim
20-01-2023,GB,Micro-Ondas,Midea,Robson,Concluído,0,30-01-2023,31-01-2023,Sim
20-01-2023,FB,Micro-Ondas,Midea,Robson/Matheus,Concluído,0,30-03-2023,24-04-2023,Sim
20-01-2023,FON,Ar Condiconado,Midea,0,Cancelado,0,0,14-03-2023,Não
20-01-2023,FON,Lavadora,Panasonic,Cvg E Osiel,Concluído,0,16-03-2023,16-03-2023,Sim
20-01-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,07-02-2023,09-02-2023,09-02-2023,Sim
20-01-2023,GB,Robo,Midea,Mateus,Concluído,0,24-01-2023,06-02-2023,Sim
20-01-2023,GB,Frigobar,Midea,Jjackleison/Cvg/Breno,Concluído,27-02-2023,07-03-2023,15-03-2023,Sim
20-01-2023,FB,Aspirador,Wap,Thiago,Concluído,0,27-02-2023,14-03-2023,Sim
20-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,27-01-2023,12-02-2023,12-02-2023,Sim
23-01-2023,GON,Lavadora,Panasonic,Jacleilson,Concluído,27-01-2023,31-01-2023,31-01-2023,Sim
23-01-2023,GON,Lavadora,Panasonic,Osiel,Concluído,0,31-01-2023,31-01-2023,Sim
23-01-2023,FB,Robo,Wap,Thiago,Concluído,0,25-01-2023,07-02-2023,Sim
23-01-2023,GB,Robo,Midea,Mateus,Concluído,31-01-2023,31-01-2023,08-02-2023,Sim
23-01-2023,GON,Lavadora,Panasonic,Osiel / Jacleilson,Concluído,0,23-01-2023,23-01-2023,Sim
23-01-2023,FB,Aspirador,Wap,Thiago,Concluído,0,05-06-2023,07-06-2023,Sim
23-01-2023,GON,Refrigerador,Panasonic,Osiel / Cvg,Concluído,0,22-02-2023,22-02-2023,Sim
23-01-2023,FB,Robo,Ropo,Thiago,0,0,0,0,0
23-01-2023,FB,Lavadora,Panasonic,0,0,0,0,0,0
23-01-2023,GON,Refrigerador,Panasonic,Cvg / Jacleilson,Concluído,26-01-2023,02-02-2023,02-02-2023,Sim
23-01-2023,GON,Refrigerador,Panasonic,Cvg / Osiel,Concluído,0,27-02-2023,27-02-2023,Sim
23-01-2023,FB,Rferigerador,Panasonic,Claudio,Concluído,0,07-02-2023,07-02-2023,Sim
24-01-2023,GON,Lavadora,Panasonic,Osiel,Concluído,08-03-2023,01-03-2023,01-03-2023,Sim
24-01-2023,FON,Ar Condicionado,Midea,Jacleilson / Brenno,Concluído,06-04-2023,09-05-2023,09-05-2023,Sim
24-01-2023,GB,Lava Louça,Mdea,Cvg,Concluído,0,31-01-2023,03-02-2023,Sim
24-01-2023,GB,Micro Ondas,Midea,Robson,Concluído,0,30-01-2023,31-01-2023,Sim
24-01-2023,FB,Refrigerador,Panasonic,Robson,Concluído,0,10-03-2023,10-03-2023,Sim
24-01-2023,FON,Lavadora,Panasonic,Jacleilson,Concluído,0,25-01-2023,25-01-2023,Sim
25-01-2023,FON,Lavadora,Panasonic,Jacleilson,Concluído,0,25-01-2023,25-01-2023,Sim
25-01-2023,GB,Refrigerador,Panasonic,Cvg,Concluído,02-02-2023,02-02-2023,03-02-2023,Sim
25-01-2023,FON,Ar Condicionado,Fujitsu,0,Cancelado,0,0,01-02-2023,Não
25-01-2023,GON,Refrigerador,Panasonic,Jaclailson / Osiel,Concluído,02-02-2023,07-02-2023,07-02-2023,Sim
25-01-2023,GS,Robo,Wap,Tiago/Robson,Concluído,0,23-03-2023,23-03-2023,Sim
25-01-2023,GB,Robo,Wap,Cvg,Concluído,0,25-01-2023,25-01-2023,Sim
25-01-2023,FB,Robo,Wap,Thiago,Concluído,0,02-02-2023,11-04-2023,Sim
25-01-2023,FON,Cooktop,Midea,Cvg,Concluído,03-03-2023,07-03-2023,15-03-2023,Sim
25-01-2023,FB,Cooktop,Midea,0,0,0,0,0,0
26-01-2023,GON,Lavadora,Panasonic,Jacleilson,Concluído,0,26-01-2023,26-01-2023,Sim
26-01-2023,FON,Lavadora,Panasonic,Osiel,Concluído,0,07-02-2023,07-02-2023,Sim
26-01-2023,GON,Cooktop,Midea,Cvg,Sem Defeito,0,0,26-01-2023,Não
26-01-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,0,30-01-2023,30-01-2023,Sim
26-01-2023,GON,Refrigerador,Panasonic,0,0,0,0,0,0
26-01-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,0,02-02-2023,02-02-2023,Sim
26-01-2023,FB,Aspirador,Midea,Matheus,Concluído,0,08-02-2023,10-02-2023,Sim
26-01-2023,FON,Refrigerador,Panasonic,Cvg,Concluído,0,26-01-2023,26-01-2023,Sim
26-01-2023,GON,Refrigerador,Panasonic,Cvg,Cancelada,0,0,08-02-2023,Não
26-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,09-02-2023,12-02-2023,12-02-2023,Sim
27-01-2023,FON,Lavadora,Panasonic,Osiel,Concluído,0,04-02-2023,04-02-2023,Sim
27-01-2023,FON,Refrigerador,Panasonic,Cvg,Concluído,0,28-01-2023,28-01-2023,Sim
27-01-2023,GON,Lavadora,Panasonic,Cvg,Concluído,0,28-01-2023,28-01-2023,Sim
27-01-2023,GON,Cooktop,Midea,Cvg,Concluído,0,28-01-2023,28-01-2023,Sim
0,FB,Robo,Wap,Mateus,Concluído,0,14-02-2023,01-03-2023,Sim
27-01-2023,GON,Lavadora,Panasonic,0,Cancelado,0,0,27-01-2023,Não
27-01-2023,FON,Refrigerador,Panasonic,0,0,0,0,0,0
27-01-2023,GB,Microondas,Panasonic,Robson,Concluído,07-02-2023,10-02-2023,17-02-2023,Sim
27-01-2023,FON,Lava E Seca,Midea,Osiel / Jacleilson,Concluído,0,06-02-2023,06-02-2023,Sim
27-01-2023,GB,Robo,Wap,Thiago,Concluído,06-02-2023,07-02-2023,28-02-2023,Sim
27-01-2023,GON,Lava E Seca,Midea,Osiel,Concluído,0,02-02-2023,02-02-2023,Sim
27-01-2023,GON,Lavadora,Midea,Osiel,Concluído,0,31-01-2023,31-01-2023,Sim
27-01-2023,GON,Lavadora,Midea,Osiel,Concluído,0,02-02-2023,02-02-2023,Sim
30-01-2023,FON,Refrigerador,Panasonic,Osiel,Concluído,0,03-02-2023,03-02-2023,Sim
30-01-2023,GB,Robo,Wap,Thiago,Concluído,06-02-2023,07-02-2023,13-02-2023,Sim
30-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,22-02-2023,12-02-2023,12-02-2023,Sim
30-01-2023,FB,Microondas,Panasonic,Robson,Cancelado,0,0,17-02-2023,Não
0,ORDEM PULADA,0,0,0,0,0,0,0,0
30-01-2023,GON,Refrigerador,Panasonic,Jacleilson / Osiel,Concluído,09-02-2023,16-02-2023,0,0
30-01-2023,GB,Robo,Wap,Thiago,Concluído,06-02-2023,07-02-2023,24-02-2023,Sim
31-01-2023,GB,Microondas,Panasonic,Robson,Concluído,09-02-2023,15-02-2023,17-02-2023,Sim
31-01-2023,FB,Robo,Midea,Matheus,Concluído,0,06-03-2023,14-03-2023,Sim
31-01-2023,GB,Fritadeira,Midea,Thiago,Concluído,08-02-2023,09-02-2023,07-03-2023,Sim
31-01-2023,FB,Purificador,Midea,Robson,Sem Conserto,0,0,24-02-2023,Não
31-01-2023,GB,Microondas,Midea,Robson,Concluído,0,01-02-2023,28-02-2023,Sim
31-01-2023,FB,Arcondicionado,Lg,Osiel,0,0,0,0,0
31-01-2023,GB,Robo,Midea,Matheus,Concluído,14-02-2023,15-02-2023,22-02-2023,Sim
01-02-2023,GON,Lavadora,Panasonic,Osiel,Concluído,0,08-02-2023,08-02-2023,Sim
01-02-2023,FON,Refrigerador,Panasonic,Osiel,Concluído,0,01-02-2023,01-02-2023,Sim
01-02-2023,GON,Lavadora,Panasonic,Osiel,Concluído,0,02-02-2023,02-02-2023,Sim
01-02-2023,GB,Robô,Wap,Thiago,Concluído,0,16-03-2023,22-03-2023,Sim
