DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO,TECNICO
15-01-2018,BALCÃO,Ntb,Itautec,Concluído,0,20-01-2018,20-01-2018,Sim,
02-10-2018,ON SITE,Ar Condicionado,Springer/Midea,0,0,0,0,0,
15-01-2018,BALCÃO,Ntb,Acer,Concluído,0,02-08-2018,02-08-2018,Sim,
15-01-2018,BALCÃO,Ntb,Itautec,Concluído,0,26-01-2018,02-03-2018,Sim,
15-01-2018,ETICKET,Microondas,Midea,Concluído,0,30-01-2018,02-01-2018,Sim,
15-01-2018,ETICKET,Microondas,Midea,Concluído,0,19-02-2018,22-02-2018,Sim,
15-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,31-01-2018,Não,
15-01-2018,BALCÃO,Digtv,Positivo,0,0,02-05-2018,02-06-2018,Sim,
15-01-2018,ETICKET,Microondas,Midea,0,0,30-01-2018,02-01-2018,Sim,
16-01-2018,BALCÃO,Ntb,Apple,S/ Conserto,0,0,02-10-2018,Não,
16-01-2018,BALCÃO,Digtv,Positivo,0,0,18-01-2018,31-01-2018,Sim,
16-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,31-01-2018,Não,
16-01-2018,BALCÃO,Ntb,Acer,0,0,18-01-2018,22-01-2018,Sim,
16-01-2018,BALCÃO,Celular,Positivo,0,0,22-01-2018,23-01-2018,Sim,
16-01-2018,BALCÃO,Digtv,Positivo,0,0,22-01-2018,23-01-2018,Sim,
16-01-2018,BALCÃO,Ntb,Positivo,Concluído,0,02-10-2018,24-02-2018,Sim,
17-01-2018,ETICKET,Microondas,Midea,Descarte,0,0,22-01-2018,Não,
17-01-2018,BALCÃO,Digtv,Positivo,Troca,0,0,16-02-2018,Não,
17-01-2018,BALCÃO,Desk,Positivo,0,0,19-01-2018,19-01-2018,Sim,
17-01-2018,BALCÃO,Digtv,Positivo,0,0,17-01-2018,18-01-2018,Sim,
17-01-2018,BALCÃO,Ntb,Positivo,S/ Conserto,0,0,17-05-2018,Não,
18-01-2018,BALCÃO,Cervejeira,Midea,0,0,02-03-2018,02-05-2018,Sim,
18-01-2018,BALCÃO,Digtv,Positivo,0,0,19-01-2018,22-01-2018,Sim,
18-01-2018,BALCÃO,Digtv,Positivo,0,0,19-01-2018,22-01-2018,Sim,
