DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
21-01-2020,ETICKET,Aspirador,Midea,Concluído,0,24-01-2020,29-01-2020,Sim
21-01-2020,BALCAO,Placa Cond,Carrier,Sem Conserto,0,0,23-01-2020,Não
21-01-2020,ETICKET,Microondas,Midea,Concluído,0,23-01-2020,24-01-2020,Sim
21-01-2020,ETICKET,Microondas,Midea,Concluído,0,23-01-2020,29-01-2020,Sim
21-01-2020,ON SITE,Cooktop,Midea,Concluído,0,23-01-2020,23-01-2020,Sim
21-01-2020,ETICKET,Microondas,Midea,Concluído,0,23-01-2020,27-01-2020,Sim
21-01-2020,ON SITE,Lavadora,Panasonic,Concluído,29-01-2020,24-01-2020,24-01-2020,Sim
21-01-2020,ETICKET,Aspirador,Midea,Concluído,0,23-01-2020,27-01-2020,Sim
21-01-2020,ON SITE,Lavadora,Panasonic,Concluído,28-01-2020,22-01-2020,22-01-2020,Sim
21-01-2020,ETICKET,Microondas,Midea,Concluído,02-03-2020,27-01-2020,29-01-2020,Sim
22-01-2020,BALCÃO,Purificador,Midea,Concluído,0,02-11-2020,02-11-2020,Sim
22-01-2020,BALCÃO,Microondas,Panasonic,Concluído,0,27-01-2020,02-04-2020,Sim
22-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,28-01-2020,28-01-2020,Sim
22-01-2020,BALCÃO,Cortina De Ar,Gallanti,Concluído,0,02-12-2020,20-02-2020,Sim
22-01-2020,ETICKET,Aspirador,Midea,Concluído,0,25-01-2020,29-01-2020,Sim
22-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,23-01-2020,0,Sim
22-01-2020,ON SITE,Condensadora,Midea,Concluído,0,27-01-2020,27-01-2020,Sim
22-01-2020,BALCÃO,Placa,Panasonic,Sem Conserto,0,0,16-03-2020,Não
22-01-2020,ON SITE,Lava E Seca,Midea,Concluído,0,02-07-2020,02-12-2020,Sim
23-01-2020,ETICKET,Microondas,Midea,Concluído,0,24-01-2020,30-01-2020,Sim
23-01-2020,ETICKET,Microondas,Midea,Concluído,0,27-01-2020,29-01-2020,Sim
23-01-2020,ON SITE,Ar Condicionado,Midea,Concluído,0,03-09-2020,03-09-2020,Sim
23-01-2020,ON SITE,Ar Condicionado,Midea,Concluído,0,02-10-2020,02-10-2020,Sim
23-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,0,29-01-2020,Não
23-01-2020,BALCÃO,Purificador,Midea,Sem Conserto,0,0,02-06-2020,Não
23-01-2020,ON SITE,Lava E Seca,Midea,Concluído,0,29-01-2020,29-01-2020,Sim
23-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,27-01-2020,27-01-2020,Sim
24-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,31-01-2020,31-01-2020,Sim
24-01-2020,ON SITE,Lavadora,Panasonic,Concluído,31-01-2020,27-01-2020,27-01-2020,Sim
24-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,27-01-2020,27-01-2020,Sim
24-01-2020,BALCÃO,Microondas,Midea,Concluído,0,02-04-2020,0,Sim
24-01-2020,ETICKET,Robo,Wap,Concluído,0,27-01-2020,29-01-2020,Sim
24-01-2020,ETICKET,Aspirador,Midea,Concluído,0,27-01-2020,29-01-2020,Sim
24-01-2020,BALCÃO,Ar Janela,Spinger,Concluído,0,30-01-2020,02-01-2020,Sim
25-01-2020,BALCÃO,Purificador,Midea,Concluído,02-06-2020,02-07-2020,08-05-2020,Sim
25-01-2020,BALCÃO,Notebook,Positivo,Concluído,0,02-10-2020,02-10-2020,Sim
25-01-2020,BALCÃO,Umidificador,Elgin,Troca,0,0,03-07-2020,Não
25-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,29-01-2020,29-01-2020,Sim
25-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,27-01-2020,27-01-2020,Sim
25-01-2020,ON SITE,Ar Condicionado,Midea,Cancelado,0,0,16-03-2020,Não
27-01-2020,ON SITE,Lava E Seca,Midea,Concluído,02-06-2020,02-10-2020,02-10-2020,Sim
27-01-2020,ON SITE,Ar Condicionado,Midea,Concluído,0,29-01-2020,29-01-2020,Sim
27-01-2020,ON SITE,Refrigerador,Midea,Concluído,0,02-03-2020,02-03-2020,Sim
27-01-2020,ETICKET,Aspirador,Midea,Concluído,0,29-01-2020,30-01-2020,Sim
27-01-2020,BALCAO,Lavadora,Panasonic,Concluído,27-02-2020,03-01-2020,05-07-2020,Sim
27-01-2020,ETICKET,Robo,Midea,Concluído,0,28-01-2020,02-03-2020,Sim
27-01-2020,ETICKET,Robo,Midea,Concluído,0,29-01-2020,30-01-2020,Sim
27-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,31-01-2020,31-01-2020,Sim
27-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,29-01-2020,29-01-2020,Sim
27-01-2020,ETICKET,Aspirador,Midea,Concluído,0,29-01-2020,02-03-2020,Sim
27-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-11-2020,18-02-2020,Sim
27-01-2020,ETICKET,Microondas,Midea,Concluído,0,02-06-2020,02-12-2020,Sim
27-01-2020,ETICKET,Microondas,Midea,Concluído,0,27-01-2020,29-01-2020,Sim
27-01-2020,ETICKET,Aspirador,Midea,Concluído,0,29-01-2020,30-01-2020,Sim
27-01-2020,ETICKET,Microondas,Midea,Concluído,0,28-01-2020,30-01-2020,Sim
27-01-2020,ETICKET,Microondas,Midea,Concluído,0,02-07-2020,02-12-2020,Sim
27-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-12-2020,19-02-2020,Sim
28-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,29-01-2020,29-01-2020,Sim
28-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,02-10-2020,02-12-2020,Sim
28-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-12-2020,19-02-2020,Sim
28-01-2020,BALCÃO,Purificador,Midea,Concluído,0,02-10-2020,13-02-2020,Sim
28-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,31-01-2020,31-01-2020,Sim
28-01-2020,ON SITE,Ar Condicionado,Carrier,Concluído,0,28-01-2020,28-01-2020,Sim
28-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,29-01-2020,29-01-2020,Sim
28-01-2020,ON SITE,Lava E Seca,Midea,Concluído,0,29-01-2020,29-01-2020,Sim
28-01-2020,BALCÃO,Lavadora,Panasonic,0,0,0,0,0
28-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,30-01-2020,14-02-2020,Sim
28-01-2020,ON SITE,Lavadora,Panasonic,Cancelado,0,0,29-01-2020,Não
28-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-12-2020,19-02-2020,Sim
28-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-10-2020,02-12-2020,Sim
28-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-12-2020,19-02-2020,Sim
28-01-2020,ETICKET,Microondas,Midea,Concluído,0,28-01-2020,30-01-2020,Sim
28-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,30-01-2020,02-03-2020,0,Sim
28-01-2020,ON SITE,Ar Condicionado,Midea,Concluído,0,02-12-2020,02-12-2020,Sim
28-01-2020,ON SITE,Lava E Seca,Midea,Concluído,0,30-01-2020,30-01-2020,Sim
29-01-2020,ON SITE,Refrigerador,Panasonic,Cancelado,0,0,02-04-2020,Não
29-01-2020,BALCÃO,Microondas,Midea,Concluído,0,29-01-2020,30-01-2020,Sim
29-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,31-01-2020,02-04-2020,Sim
29-01-2020,BALCÃO,Aspirador,Midea,Concluído,0,13-02-2020,26-02-2020,Sim
29-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-12-2020,19-02-2020,Sim
29-01-2020,ON SITE,Frigobar,Midea,Concluído,0,02-05-2020,02-05-2020,Sim
29-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-12-2020,19-02-2020,Sim
29-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-12-2020,19-02-2020,Sim
29-01-2020,ETICKET,Robo,Wap,Sem Defeito,0,02-11-2020,20-02-2020,Não
29-01-2020,BALCÃO,Robo,Wap,Concluído,0,31-01-2020,02-06-2020,Sim
30-01-2020,ON SITE,Ar Portatil,Midea,Concluído,0,29-01-2020,29-01-2020,Sim
30-01-2020,ON SITE,Forno De Embutir,Panasonic,Concluído,0,02-04-2020,19-02-2020,Sim
30-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,02-05-2020,02-05-2020,Sim
30-01-2020,ON SITE,Microondas,Panasonic,Concluído,0,02-04-2020,02-04-2020,Sim
30-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,27-02-2020,03-03-2020,03-03-2020,Sim
30-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,02-05-2020,02-05-2020,Sim
30-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,02-03-2020,02-03-2020,Sim
30-01-2020,ETICKET,Robo,Midea,Concluído,0,02-03-2020,02-05-2020,Sim
30-01-2020,ETICKET,Microondas,Midea,Concluído,0,02-06-2020,02-12-2020,Sim
30-01-2020,ETICKET,Microondas,Midea,Concluído,0,02-10-2020,13-02-2020,Sim
30-10-2020,ETICKET,Microondas,Midea,Concluído,0,31-01-2020,02-05-2020,Sim
30-01-2020,ETICKET,Aspirador,Midea,Concluído,0,31-01-2020,02-05-2020,Sim
30-01-2020,ETICKET,Microondas,Midea,Concluído,0,31-01-2020,02-05-2020,Sim
30-01-2020,ETICKET,Aspirador,Midea,Concluído,03-05-2020,02-05-2020,02-12-2020,Sim
30-01-2020,ETICKET,Microondas,Midea,Troca,0,0,23-03-2020,Não
30-01-2020,ETICKET,Aspirador,Midea,Concluído,0,02-07-2020,02-12-2020,Sim
