DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO,TECNICO,TEMPO_CONSERTO,MES_ANO
23/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
23/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
23/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
23/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
23/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
23/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
23/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
23/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
23/05/2020,ETICKET,Microondas,Midea,Concluído,2020-06-22,2020-08-06,06/12/2020,sim,0,45,2020-06
23/05/2020,ETICKET,Microondas,Midea,Concluído,2020-06-22,2020-09-06,06/12/2020,sim,0,76,2020-06
25/05/2020,BALCÃO,Microondas,Pánasonic,Concluído,2020-10-06,2020-10-06,15/06/2020,sim,0,0,2020-10
26/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
26/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
26/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
26/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
26/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
06/01/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
06/04/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
06/06/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-06-20,2020-06-26,26/06/2020,sim,0,6,2020-06
06/06/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
06/12/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-06-20,2020-06-24,24/06/2020,sim,0,4,2020-06
06/12/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-08-07,2020-10-07,07/10/2020,sim,0,61,2020-08
